,category,product_url,product_name,model_no,brand,MRP,offer_price,save_percentage,EMI,delivery,warranty,return_policy
20,television,https://www.snapdeal.com/product/global-emart-gem-gem-smart/648662174695,GLOBAL E-MART GEM GEM SMART 4K 01101 138 cm ( 55 ) Ultra HD (4K) LED Television,GEM SMART 4K 01101,GLOBAL E-MART GEM,"MRP  Rs. 32,000  (Inclusive of all taxes)",Rs. 28000,13% OFF,EMI starts at Rs. 1331 /month.,Generally delivered in 7 - 11 days,1,7 Days Easy Returns
21,television,https://www.snapdeal.com/product/lg-49uh650t-123-cm-49/668861554955,LG 49UH650T 123 cm ( 49 ) Ultra HD (4K) Smart LED Television,49UH650T,LG,"MRP  Rs. 99,000  (Inclusive of all taxes)",Rs. 96131,3% OFF,EMI starts at Rs. 4570 /month.,Generally delivered in 6 - 10 days,1,7 Days Easy Returns
22,television,https://www.snapdeal.com/product/raksun-rsun24n-60-cm-24/674605351712,RAKSUN RSUN24N 60 cm ( 24 ) Full HD (FHD) LED Television,RSUN24N,RAKSUN,"MRP  Rs. 12,990  (Inclusive of all taxes)",Rs. 7100,45% OFF,EMI starts at Rs. 337 /month.,Generally delivered in 8 - 12 days,ONE YEAR,7 Days Easy Returns
23,television,https://www.snapdeal.com/product/lg-43lk5760pta-108-cm-full/652941481864,LG 43LK5760PTA 108 cm ( ) Full HD (FHD) LED Television,43LK5760PTA,LG,"MRP  Rs. 59,990  (Inclusive of all taxes)",Rs. 41016,32% OFF,EMI starts at Rs. 1949 /month.,Generally delivered in 5 - 9 days,1,Null
24,television,https://www.snapdeal.com/product/son-y-bravia-139-cm/647754811016#bcrumbLabelId:64,son y Bravia 139 cm ( 55 ) Ultra HD (4K) LED Television,Bravia,son y,"MRP  Rs. 1,24,999  (Inclusive of all taxes)",Rs. 93082,26% OFF,EMI starts at Rs. 4425 /month.,Generally delivered in 5 - 8 days,1,7 Days Easy Returns
25,television,https://www.snapdeal.com/product/destine-ds24hd21-6096-cm-24/684878519467#bcrumbLabelId:64,destine DS-24HD21 60.96 cm ( 24 ) HD Ready (HDR) LED Television,DS-24HD21,destine,"MRP  Rs. 19,000  (Inclusive of all taxes)",Rs. 11000,42% OFF,EMI starts at Rs. 522 /month.,Generally delivered in 9 - 13 days,1,7 Days Easy Returns
26,television,https://www.snapdeal.com/product/bravieo-55j6500b-4k-gaming-140/685621413171,Bravieo 55J6500B 4K Gaming 140 cm ( 55 ) Smart Ultra HD (4K) LED Television With 1+2 Year Extended Warranty,55J6500B 4K Gaming,Bravieo,"MRP  Rs. 98,999  (Inclusive of all taxes)",Rs. 62044,37% OFF,EMI starts at Rs. 2949 /month.,Generally delivered in 7 - 11 days,1,7 Days Easy Returns
27,television,https://www.snapdeal.com/product/vu-43-cinema-3-years/636418552666,Vu 43 Cinema 3 Years 108 cm ( 43 ) Ultra HD (4K) LED Television,43 Cinema 3 Years,Vu,"MRP  Rs. 37,999  (Inclusive of all taxes)",Rs. 36890,3% OFF,EMI starts at Rs. 1753 /month.,Generally delivered in 6 - 10 days,3,7 Days Easy Returns
28,television,https://www.snapdeal.com/product/b2x-india-4008-927-cm/628141674806,B2X INDIA 4008 92.7 cm ( 40 ) Full HD (FHD) LED Television,4008,B2X INDIA,"MRP  Rs. 29,990  (Inclusive of all taxes)",Rs. 22582,25% OFF,EMI starts at Rs. 1073 /month.,Generally delivered in 7 - 11 days,1 year,7 Days Easy Returns
29,television,https://www.snapdeal.com/product/electrino-gee19hdr-48-cm-19/661310320942,electrino GEE19HDR 48 cm ( 19 ) HD Ready (HDR) LED Television,GEE19HDR,electrino,"MRP  Rs. 10,000  (Inclusive of all taxes)",Rs. 5750,43% OFF,EMI starts at Rs. 273 /month.,Generally delivered in 5 - 9 days,1,7 Days Easy Returns
30,television,https://www.snapdeal.com/product/samsung-ua55nu7470u-1397-cm-smart/662596606497,Samsung UA55NU7470U 139.7 cm (55 Inches) Smart Ultra HD (4K) LED Television,UA55NU7470U,Warranty,"MRP  Rs. 1,45,441  (Inclusive of all taxes)",Rs. 118000,19% OFF,EMI starts at Rs. 5609 /month.,Generally delivered in 7 - 11 days,1 Year Brand Warranty,7 Days Easy Returns
31,television,https://www.snapdeal.com/product/lg-55uk6360pte-139-cm-ultra/632237886056#bcrumbLabelId:64,LG 55UK6360PTE 139 cm ( ) Ultra HD (4K) LED Television,55UK6360PTE,LG,"MRP  Rs. 1,05,990  (Inclusive of all taxes)",Rs. 67842,36% OFF,EMI starts at Rs. 3225 /month.,Generally delivered in 5 - 9 days,1,Null
32,television,https://www.snapdeal.com/product/tailos-1920x1080-100-cm-43/660287470174,Tailos 1920x1080 100 cm ( 43 ) Ultra HD (4K) LED Television,1920x1080,Tailos,"MRP  Rs. 39,000  (Inclusive of all taxes)",Rs. 28589,27% OFF,EMI starts at Rs. 1359 /month.,Generally delivered in 7 - 11 days,1,7 Days Easy Returns
33,television,https://www.snapdeal.com/product/lg-49uk7500pta-123-cm-ultra/660759982734,LG 49UK7500PTA 123 cm ( ) Ultra HD (4K) LED Television,49UK7500PTA,LG,"MRP  Rs. 1,25,990  (Inclusive of all taxes)",Rs. 70881,44% OFF,EMI starts at Rs. 3369 /month.,Generally delivered in 5 - 9 days,1,7 Days Easy Returns
34,television,https://www.snapdeal.com/product/bravieo-klv50j5500b-smatr-122-cm/632258820912,Bravieo KLV-50J5500B SMATR 122 cm ( 49 ) Smart Full HD (FHD) LED Television,KLV-50J5500B SMATR,Bravieo,"MRP  Rs. 89,300  (Inclusive of all taxes)",Rs. 52245,41% OFF,EMI starts at Rs. 2483 /month.,Generally delivered in 7 - 11 days,1,7 Days Easy Returns
35,television,https://www.snapdeal.com/product/cohoes-ltsm321000-80-cm-32/623807747119#bcrumbLabelId:64,Cohoes LTSM32-1000 80 cm ( 32 ) Full HD (FHD) LED Television,LTSM32-1000,Cohoes,"MRP  Rs. 25,550  (Inclusive of all taxes)",Rs. 18900,26% OFF,EMI starts at Rs. 898 /month.,Generally delivered in 7 - 11 days,1,7 Days Easy Returns
36,television,https://www.snapdeal.com/product/hyq-hyq-43inch-109-cm/656865948648,hyq HYQ 43INCH 109 cm ( 43 ) Smart Full HD (FHD) LED Television With 1+2 Year Extended Warranty,HYQ 43INCH,hyq,"MRP  Rs. 29,999  (Inclusive of all taxes)",Rs. 21999,27% OFF,EMI starts at Rs. 1045 /month.,Generally delivered in 6 - 10 days,3,7 Days Easy Returns
37,television,https://www.snapdeal.com/product/cinevista-cinevista-50-smart-12319/640245214099,Cinevista CINEVISTA 50 SMART 127 cm ( 50 ) Smart Ultra HD (4K) LED Television,CINEVISTA 50 SMART,Cinevista,"MRP  Rs. 62,990  (Inclusive of all taxes)",Rs. 32073,49% OFF,EMI starts at Rs. 1524 /month.,Generally delivered in 7 - 11 days,1 YEAR,7 Days Easy Returns
38,television,https://www.snapdeal.com/product/destine-ds50smsb21-127-cm-50/671742945291,destine DS-50SMSB21 127 cm ( 50 ) Ultra HD (4K) LED Television,DS-50SMSB21,destine,"MRP  Rs. 49,000  (Inclusive of all taxes)",Rs. 27223,44% OFF,EMI starts at Rs. 1294 /month.,Generally delivered in 9 - 13 days,2,7 Days Easy Returns
